stock_area_code,stock_area_description,geo_type,geo_code,jurisdiction,constraint,confidence
3A4-C,United Kingdom and Union waters of 4; Union waters of 3a,FAO,27.3.a,EU,,ok
XMA,NEAFC Stock - Mackerel,RFMO,NEAFC,,,ok
9NX10,Part of subarea 9 north (see coordinates in the regulation) and 10,FAO,27.9,,,ok
9NX10,Part of subarea 9 north (see coordinates in the regulation) and 10,FAO,27.10,,,ok
N3LNO-OTH,NAFO 3LNO (Others quota),FAO,21.3.L,NAFO,,ok
N3LNO-OTH,NAFO 3LNO (Others quota),FAO,21.3.N,NAFO,,ok
N3LNO-OTH,NAFO 3LNO (Others quota),FAO,21.3.O,NAFO,,ok
ICCAT-DEAD,ICCAT Convention area (dead and not commercialised landings),RFMO,ICCAT,,,ok
234_7,"Union waters of sandeel management area 7 (Excluding waters within six nautical miles of the United Kingdom's baselines at Shetland, Fair Isle and Foula)",SANDEEL,SAN7,GBR+EU,,ok
N3LMN,"NAFO 3L, 3M, 3N = FAO 21.3.L + 21.3.M + 21.3.N",FAO,21.3.L,NAFO,,ok
N3LMN,"NAFO 3L, 3M, 3N = FAO 21.3.L + 21.3.M + 21.3.N",FAO,21.3.M,NAFO,,ok
N3LMN,"NAFO 3L, 3M, 3N = FAO 21.3.L + 21.3.M + 21.3.N",FAO,21.3.N,NAFO,,ok
F482.,South Orkney (Subarea 48.2),FAO,48.2,,,ok
*N5630,North of 56°30' N,NONE,,,North of 56°30' N,constraint only - inherits parent area
*C-CAN,Chartering arrangement with Canada in NAFO 3LNO,CHARTER,CAN,,,charter
*C-CAN,Chartering arrangement with Canada in NAFO 3LNO,FAO,21.3.L,NAFO,,ok
*C-CAN,Chartering arrangement with Canada in NAFO 3LNO,FAO,21.3.N,NAFO,,ok
*C-CAN,Chartering arrangement with Canada in NAFO 3LNO,FAO,21.3.O,NAFO,,ok
F881S.,FAO 88.1 South Antarctic,FAO,88.1,,,ok
TUV_DIR,Direct authorisations with Tuvalu,EEZ,TUV,TUV,,ok
*9U30,Functional Unit 30 of ICES Division 9a,FU,FU30,,,ok
*9U30,Functional Unit 30 of ICES Division 9a,FAO,27.9.a,,Functional Unit 30,ok
*2A3A4_Q1,3a; Union waters of 2a and 4 (first quarter),FAO,27.3.a,,,ok
*2A3A4_Q1,3a; Union waters of 2a and 4 (first quarter),FAO,27.2.a,EU,,ok
*2A3A4_Q1,3a; Union waters of 2a and 4 (first quarter),FAO,27.4,EU,,ok
3ABC24,3a; Union waters of Subdivisions 22-24,FAO,27.3.a,,,ok
3ABC24,3a; Union waters of Subdivisions 22-24,FAO,27.3.c.22,EU,,ok
3ABC24,3a; Union waters of Subdivisions 22-24,FAO,27.3.b.23,EU,,ok
3ABC24,3a; Union waters of Subdivisions 22-24,FAO,27.3.d.24,EU,,ok
*8301,"Atlantic Ocean, east of 45° W, and Mediterranean",FAO,37,,east of 45° W,ok
*8301,"Atlantic Ocean, east of 45° W, and Mediterranean",FAO,ATL,,east of 45° W,check
2A34-N.,"3a; United Kingdom, Union waters of 2a, 3b, 3c; 3d and 4; Norwegian waters 2a and 4a",FAO,27.3.a,,,ok
2A34-N.,"3a; United Kingdom, Union waters of 2a, 3b, 3c; 3d and 4; Norwegian waters 2a and 4a",FAO,27.2.a,GBR+EU,,ok
2A34-N.,"3a; United Kingdom, Union waters of 2a, 3b, 3c; 3d and 4; Norwegian waters 2a and 4a",FAO,27.3.b,GBR+EU,,ok
2A34-N.,"3a; United Kingdom, Union waters of 2a, 3b, 3c; 3d and 4; Norwegian waters 2a and 4a",FAO,27.3.c,GBR+EU,,ok
2A34-N.,"3a; United Kingdom, Union waters of 2a, 3b, 3c; 3d and 4; Norwegian waters 2a and 4a",FAO,27.3.d,,,ok
2A34-N.,"3a; United Kingdom, Union waters of 2a, 3b, 3c; 3d and 4; Norwegian waters 2a and 4a",FAO,27.4,,,ok
2A34-N.,"3a; United Kingdom, Union waters of 2a, 3b, 3c; 3d and 4; Norwegian waters 2a and 4a",FAO,27.2.a,NOR,,ok
2A34-N.,"3a; United Kingdom, Union waters of 2a, 3b, 3c; 3d and 4; Norwegian waters 2a and 4a",FAO,27.4.a,NOR,,ok
1X14IN,"zone I, II, V, VI, VII, XII, XIV",FAO,27.1,,,ok
1X14IN,"zone I, II, V, VI, VII, XII, XIV",FAO,27.2,,,ok
1X14IN,"zone I, II, V, VI, VII, XII, XIV",FAO,27.5,,,ok
1X14IN,"zone I, II, V, VI, VII, XII, XIV",FAO,27.6,,,ok
1X14IN,"zone I, II, V, VI, VII, XII, XIV",FAO,27.7,,,ok
1X14IN,"zone I, II, V, VI, VII, XII, XIV",FAO,27.12,,,ok
1X14IN,"zone I, II, V, VI, VII, XII, XIV",FAO,27.14,,,ok
N3LNO.,NAFO 3LNO,FAO,21.3.L,NAFO,,ok
N3LNO.,NAFO 3LNO,FAO,21.3.N,NAFO,,ok
N3LNO.,NAFO 3LNO,FAO,21.3.O,NAFO,,ok
05B-F.,Faroese waters of 5b,FAO,27.5.b,FRO,,ok
09-,Union and international waters of 9,FAO,27.9,EU+INT,,ok
MED4_OTB3,(no description - inferred from code),NONE,,,MED4_OTB3,Mediterranean effort regime code - not an area
*C-FRA,Chartering arrangement with Saint Pierre et Miquelon in NAFO 3LNO,CHARTER,SPM,,,charter
