stock_area_code,stock_area_description,geo_type,geo_code,jurisdiction,constraint,confidence
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.d.32,EU,,ok
MED3_TBB_TR1,(no description - inferred from code),NONE,,,MED3_TBB_TR1,Mediterranean effort regime code - not an area
*C-FRA-3M,Chartering arrangement with Saint Pierre et Miquelon in NAFO 3M,CHARTER,SPM,,,charter
*C-FRA-3M,Chartering arrangement with Saint Pierre et Miquelon in NAFO 3M,FAO,21.3.M,NAFO,,ok
STP_2014,Sao Tome and Principe,EEZ,STP,STP,,ok
5A14-C,"Va) (1), XIV (1)",FAO,27.5.a,,,ok
5A14-C,"Va) (1), XIV (1)",FAO,27.1,,,ok
5A14-C,"Va) (1), XIV (1)",FAO,27.14,,,ok
*234_6,Sandeel management area 6,SANDEEL,SAN6,,,ok
7DE.,7d and 7e,FAO,27.7.d,,,ok
7DE.,7d and 7e,FAO,27.7.e,,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.7.a,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.7.b,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.7.c,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.7.e,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.7.f,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.7.g,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.7.h,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.7.j,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.7.k,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.6.a,EU,,ok
*67AKD,"Union waters of 6a, 6b, 7a-c and 7e-k",FAO,27.6.b,EU,,ok
624E44,Greenland waters of NAFO 1 and Greenland waters of XIV: Between 62° N and 64° N East of 44° W,FAO,21.1,GRL,East of 44° W | Between 62° N and 64° N East of 44° W,ok
624E44,Greenland waters of NAFO 1 and Greenland waters of XIV: Between 62° N and 64° N East of 44° W,FAO,27.14,GRL,East of 44° W | Between 62° N and 64° N East of 44° W,ok
*ICAN05NXM-EU,"Union waters, excluding Mediterranean",EEZ,EU,EU,,check
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.c.22,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.b.23,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.d.24,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.d.25,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.d.26,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.d.27,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.d.28,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.d.29,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.d.30,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.d.31,EU,,ok
3BCD-C,Union waters of Subdivisions 22-32,FAO,27.3.d.32,EU,,ok
N3M,NAFO 3M = FAO 21.3.M,FAO,21.3.M,NAFO,,ok
IOTC,IOTC Area of Competence,RFMO,IOTC,,,ok
05B1-F,Faeroe Plateau (Subdivision Vb1- Subunit Vb1b) - Faroese waters,FAO,27.1,FRO,,ok
5B67-C,"Union waters of 5b, 6 and 7",FAO,27.5.b,EU,,ok
5B67-C,"Union waters of 5b, 6 and 7",FAO,27.6,EU,,ok
5B67-C,"Union waters of 5b, 6 and 7",FAO,27.7,EU,,ok
*5-14N,Greenland waters of NAFO 1F and Greenland waters of V and XIV within the NEAFC box,RFMO,NEAFC,,,ok
*5-14N,Greenland waters of NAFO 1F and Greenland waters of V and XIV within the NEAFC box,FAO,21.1.F,GRL,,ok
*5-14N,Greenland waters of NAFO 1F and Greenland waters of V and XIV within the NEAFC box,FAO,27.5,GRL,,ok
*5-14N,Greenland waters of NAFO 1F and Greenland waters of V and XIV within the NEAFC box,FAO,27.14,GRL,,ok
3D-R31,IIId) (1) - Sub-divisions 25-29 (except Gulf of Riga) and 32,FAO,27.3.d,,,ok
3D-R31,IIId) (1) - Sub-divisions 25-29 (except Gulf of Riga) and 32,FAO,27.1,,,ok
*46AN,4 and 6a north of 56° 30' N,FAO,27.6.a,,north of 56° 30' N,ok
*46AN,4 and 6a north of 56° 30' N,FAO,27.4,,north of 56° 30' N,ok
3B23.,Subdivision 23,FAO,27.3.b.23,,,ok
2A3A4_Q1,3a; Union waters of 2a and 4 (first quarter),FAO,27.3.a,,,ok
2A3A4_Q1,3a; Union waters of 2a and 4 (first quarter),FAO,27.2.a,EU,,ok
2A3A4_Q1,3a; Union waters of 2a and 4 (first quarter),FAO,27.4,EU,,ok
*ATLPS,Atlantic Ocean - purse seiners,FAO,ATL,,,check
2A4.,"IIa), IV",FAO,27.2.a,,,ok
2A4.,"IIa), IV",FAO,27.4,,,ok
24678C,"IIa) (1), IV (1), VI, VII; VIII (1)",FAO,27.2.a,,,ok
24678C,"IIa) (1), IV (1), VI, VII; VIII (1)",FAO,27.1,,,ok
24678C,"IIa) (1), IV (1), VI, VII; VIII (1)",FAO,27.4,,,ok
24678C,"IIa) (1), IV (1), VI, VII; VIII (1)",FAO,27.6,,,ok
24678C,"IIa) (1), IV (1), VI, VII; VIII (1)",FAO,27.7,,,ok
24678C,"IIa) (1), IV (1), VI, VII; VIII (1)",FAO,27.8,,,ok
67-EU,Union waters of 6 and 7,FAO,27.6,EU,,ok
67-EU,Union waters of 6 and 7,FAO,27.7,EU,,ok
*E45W641,"ICCAT Convention area, east of 45°W",RFMO,ICCAT,,east of 45°W,ok
ICESVII,(no description - inferred from code),FAO,27.7,,,ok
NAM_DIR,Direct authorisations with Namibia,EEZ,NAM,NAM,,ok
514.,"V, XIV",FAO,27.5,,,ok
514.,"V, XIV",FAO,27.14,,,ok
N1BA40,NAFO 1 west of 44° W within 40 miles of baselines,FAO,21.1,NAFO,west of 44° W,ok
6B1214,"United Kingdom, Union and  international waters of 6b; international  waters of 12 and 14",FAO,27.6.b,GBR+EU+INT,,ok
6B1214,"United Kingdom, Union and  international waters of 6b; international  waters of 12 and 14",FAO,27.12,INT,,ok
6B1214,"United Kingdom, Union and  international waters of 6b; international  waters of 12 and 14",FAO,27.14,INT,,ok
910-,"Zones IX, X",FAO,27.9,,,ok
910-,"Zones IX, X",FAO,27.10,,,ok
*641,"Atlantic Ocean, east of 45° W, and Mediterranean",FAO,37,,east of 45° W,ok
*641,"Atlantic Ocean, east of 45° W, and Mediterranean",FAO,ATL,,east of 45° W,check
COK_2021,Cook Islands 2021,EEZ,COK,COK,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",EEZ,GUF,GUF,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.1,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.2,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.3,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.4,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.5,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.6,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.7,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.8,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.9,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.10,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.12,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.14,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,34.1.1,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,34.1.2,EU,,check
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,34.2,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.3.a.20,EU,,ok
3-1234,"French Guiana waters, Kattegat; Union waters of Skagerrak, I, II, III, IV, V, VI, VII, VIII, IX, X, XII and XIV; Union waters of CECAF 34.1.1, 34.1.2 and 34.2",FAO,27.3.a.21,EU,,ok
03A-C.,Union waters of 3a,FAO,27.3.a,EU,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.1,EU+THIRD,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.2,EU+THIRD,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.3,EU+THIRD,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.4,EU+THIRD,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.5,EU+THIRD,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.8,EU+THIRD,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.9,EU+THIRD,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.10,EU+THIRD,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.12,EU+THIRD,,ok
1X14-,"Community waters and waters not under the sovereignty or jurisdiction of third countries of I, II, III, IV, V, VIII, IX, X, XII and XIV",FAO,27.14,EU+THIRD,,ok
6X14-,"VI, VII, VIII, IX, X, XII, XIV 1), 2)",FAO,27.6,,,ok
6X14-,"VI, VII, VIII, IX, X, XII, XIV 1), 2)",FAO,27.7,,,ok
6X14-,"VI, VII, VIII, IX, X, XII, XIV 1), 2)",FAO,27.8,,,ok
6X14-,"VI, VII, VIII, IX, X, XII, XIV 1), 2)",FAO,27.9,,,ok
6X14-,"VI, VII, VIII, IX, X, XII, XIV 1), 2)",FAO,27.10,,,ok
6X14-,"VI, VII, VIII, IX, X, XII, XIV 1), 2)",FAO,27.12,,,ok
6X14-,"VI, VII, VIII, IX, X, XII, XIV 1), 2)",FAO,27.14,,,ok
6X14-,"VI, VII, VIII, IX, X, XII, XIV 1), 2)",FAO,27.1,,,ok
6X14-,"VI, VII, VIII, IX, X, XII, XIV 1), 2)",FAO,27.2,,,ok
834PRT,"VIIIc),IX,X;CECAF 3411(1): under sover./juris. of Portugal",FAO,27.8.c,,,ok
834PRT,"VIIIc),IX,X;CECAF 3411(1): under sover./juris. of Portugal",FAO,27.9,,,ok
834PRT,"VIIIc),IX,X;CECAF 3411(1): under sover./juris. of Portugal",FAO,27.10,,,ok
834PRT,"VIIIc),IX,X;CECAF 3411(1): under sover./juris. of Portugal",FAO,34.1.1,,,ok
834PRT,"VIIIc),IX,X;CECAF 3411(1): under sover./juris. of Portugal",FAO,27.1,,,ok
N3NO,"NAFO 3N, 3O = FAO 21.3.N + 21.3.O",FAO,21.3.N,NAFO,,ok
N3NO,"NAFO 3N, 3O = FAO 21.3.N + 21.3.O",FAO,21.3.O,NAFO,,ok
234_6,United Kingdom and Union waters of sandeel management area 6,SANDEEL,SAN6,GBR+EU,,ok
*5-14D,EU and international waters of V; international waters of XII and XIV (within the NEAFC box: 64°45'N 28°30'W; 62°50'N 25°45'W; 61°55'N 26°45'W; 61°00N 26°30'W; 59°00'N 30°00'W; 59°00'N 34°00'W; 61°30'N 34°00'W; 62°50'N 36°00'W; 64°45'N 28°30'W),RFMO,NEAFC,,within the NEAFC box: 64°45'N 28°30'W; 62°50'N 25°45'W; 61°55'N 26°45'W; 61°00N 26°30'W; 59°00'N 30°00'W; 59°00'N 34°00'W; 61°30'N 34°00'W; 62°50'N 36°00'W; 64°45'N 28°30'W),ok
*5-14D,EU and international waters of V; international waters of XII and XIV (within the NEAFC box: 64°45'N 28°30'W; 62°50'N 25°45'W; 61°55'N 26°45'W; 61°00N 26°30'W; 59°00'N 30°00'W; 59°00'N 34°00'W; 61°30'N 34°00'W; 62°50'N 36°00'W; 64°45'N 28°30'W),FAO,27.5,EU+INT,,ok
*5-14D,EU and international waters of V; international waters of XII and XIV (within the NEAFC box: 64°45'N 28°30'W; 62°50'N 25°45'W; 61°55'N 26°45'W; 61°00N 26°30'W; 59°00'N 30°00'W; 59°00'N 34°00'W; 61°30'N 34°00'W; 62°50'N 36°00'W; 64°45'N 28°30'W),FAO,27.12,INT,,ok
*5-14D,EU and international waters of V; international waters of XII and XIV (within the NEAFC box: 64°45'N 28°30'W; 62°50'N 25°45'W; 61°55'N 26°45'W; 61°00N 26°30'W; 59°00'N 30°00'W; 59°00'N 34°00'W; 61°30'N 34°00'W; 62°50'N 36°00'W; 64°45'N 28°30'W),FAO,27.14,INT,,ok
341PRT,Union waters of CECAF (Waters adjacent to Madeira),FAO,34.1.2,EU,,check
8ABD.,"VIIIa),b),d)",FAO,27.8.a,,,ok
8ABD.,"VIIIa),b),d)",FAO,27.8.b,,,ok
8ABD.,"VIIIa),b),d)",FAO,27.8.d,,,ok
51214S,United Kingdom and international waters of 5; international waters of 12 and 14,FAO,27.5,GBR+INT,,ok
51214S,United Kingdom and international waters of 5; international waters of 12 and 14,FAO,27.12,INT,,ok
51214S,United Kingdom and international waters of 5; international waters of 12 and 14,FAO,27.14,INT,,ok
MED1_LL1,(no description - inferred from code),NONE,,,MED1_LL1,Mediterranean effort regime code - not an area
4W6W59,"Vb)(1),VIa) between 59°N & 62°N and 4°W & 6°W  DNK only",FAO,27.5.b,,between 59°N & 62°N and 4°W & 6°W  DNK only,ok
4W6W59,"Vb)(1),VIa) between 59°N & 62°N and 4°W & 6°W  DNK only",FAO,27.6.a,,between 59°N & 62°N and 4°W & 6°W  DNK only,ok
4W6W59,"Vb)(1),VIa) between 59°N & 62°N and 4°W & 6°W  DNK only",FAO,27.1,,between 59°N & 62°N and 4°W & 6°W  DNK only,ok
*2AJMN,Norwegian waters north of 62° N and the fishery zone around Jan Mayen,EEZ,NOR,NOR,north of 62° N,ok
89-SPN,"Spain zone: VIII, IX",FAO,27.8,ESP,,ok
89-SPN,"Spain zone: VIII, IX",FAO,27.9,ESP,,ok
GL251214_TOT,"Greenland waters of 2, 5, 12 and 14 (EU incl shared quota)",FAO,27.2,EU+GRL,,ok
GL251214_TOT,"Greenland waters of 2, 5, 12 and 14 (EU incl shared quota)",FAO,27.5,EU+GRL,,ok
GL251214_TOT,"Greenland waters of 2, 5, 12 and 14 (EU incl shared quota)",FAO,27.12,EU+GRL,,ok
GL251214_TOT,"Greenland waters of 2, 5, 12 and 14 (EU incl shared quota)",FAO,27.14,EU+GRL,,ok
F881N.,FAO 88.1 North Antarctic,FAO,88.1,,,ok
*514GN,Greenland waters of 5 and 14,FAO,27.5,GRL,,ok
*514GN,Greenland waters of 5 and 14,FAO,27.14,GRL,,ok
467.,"IV, VI, VII",FAO,27.4,,,ok
467.,"IV, VI, VII",FAO,27.6,,,ok
467.,"IV, VI, VII",FAO,27.7,,,ok
N65E44,Greenland waters of NAFO 1 and Greenland waters of XIV: North of 65° N East of 44° W,FAO,21.1,GRL,North of 65° N | East of 44° W,ok
N65E44,Greenland waters of NAFO 1 and Greenland waters of XIV: North of 65° N East of 44° W,FAO,27.14,GRL,North of 65° N | East of 44° W,ok
GRL,Greenland waters,EEZ,GRL,GRL,,ok
N2J3KL,NAFO 2J3KL,FAO,21.2.J,NAFO,,ok
N2J3KL,NAFO 2J3KL,FAO,21.3.K,NAFO,,ok
N2J3KL,NAFO 2J3KL,FAO,21.3.L,NAFO,,ok
N3PS-C,Subdivision 21.3Ps (Southeastern subdivision),FAO,21.3.Ps,NAFO,,ok
AW45W,"Atlantic ocean, west of 45° W",FAO,ATL,,west of 45° W,check
*04B.,4b,FAO,27.4.b,,,ok
*C-CUL,Chartering arrangement with Cuba in NAFO 3LN,CHARTER,CUB,,,charter
*C-CUL,Chartering arrangement with Cuba in NAFO 3LN,FAO,21.3.L,NAFO,,ok
*C-CUL,Chartering arrangement with Cuba in NAFO 3LN,FAO,21.3.N,NAFO,,ok
MED3_OTB,(no description - inferred from code),NONE,,,MED3_OTB,Mediterranean effort regime code - not an area
AE45WM,"Atlantic Ocean, east of 45° W, and Mediterranean",FAO,37,,east of 45° W,ok
AE45WM,"Atlantic Ocean, east of 45° W, and Mediterranean",FAO,ATL,,east of 45° W,check
MED1_LL2,(no description - inferred from code),NONE,,,MED1_LL2,Mediterranean effort regime code - not an area
2AC4IX,"IIa) (1), IV (Sprat R 2666/84)",FAO,27.2.a,,,ok
2AC4IX,"IIa) (1), IV (Sprat R 2666/84)",FAO,27.1,,,ok
2AC4IX,"IIa) (1), IV (Sprat R 2666/84)",FAO,27.4,,,ok
ATLANT,Atlantic Ocean,FAO,ATL,,,check
*15X14,"Union and international waters of I, V, VI, VII, VIII, XII and XIV",FAO,27.1,EU+INT,,ok
*15X14,"Union and international waters of I, V, VI, VII, VIII, XII and XIV",FAO,27.5,EU+INT,,ok
*15X14,"Union and international waters of I, V, VI, VII, VIII, XII and XIV",FAO,27.6,EU+INT,,ok
*15X14,"Union and international waters of I, V, VI, VII, VIII, XII and XIV",FAO,27.7,EU+INT,,ok
*15X14,"Union and international waters of I, V, VI, VII, VIII, XII and XIV",FAO,27.8,EU+INT,,ok
*15X14,"Union and international waters of I, V, VI, VII, VIII, XII and XIV",FAO,27.12,EU+INT,,ok
*15X14,"Union and international waters of I, V, VI, VII, VIII, XII and XIV",FAO,27.14,EU+INT,,ok
MDG_2014,Madagascar,EEZ,MDG,MDG,,ok
CAN_DIR,Direct authorisations with Canada,EEZ,CAN,CAN,,ok
06-,Union and international waters of VI,FAO,27.6,EU+INT,,ok
*8ABDE-BC,"8a, 8b, 8d and 8e",FAO,27.8.a,,,ok
*8ABDE-BC,"8a, 8b, 8d and 8e",FAO,27.8.b,,,ok
*8ABDE-BC,"8a, 8b, 8d and 8e",FAO,27.8.d,,,ok
*8ABDE-BC,"8a, 8b, 8d and 8e",FAO,27.8.e,,,ok
GAB_2013,Gabon,EEZ,GAB,GAB,,ok
24-C.,United Kingdom and Union waters of 4;  United Kingdom waters of 2a,FAO,27.4,GBR+EU,,ok
24-C.,United Kingdom and Union waters of 4;  United Kingdom waters of 2a,FAO,27.2.a,GBR,,ok
*C-FRA2,(no description - inferred from code),CHARTER,FRA,,,charter
MED1_TR2_AA,(no description - inferred from code),NONE,,,MED1_TR2_AA,Mediterranean effort regime code - not an area
5B67.,"ICES Vb, VI and VII",FAO,27.5.b,,,ok
5B67.,"ICES Vb, VI and VII",FAO,27.6,,,ok
5B67.,"ICES Vb, VI and VII",FAO,27.7,,,ok
N1-C.,NAFO 1 (1),FAO,21.1,NAFO,,ok
N1-C.,NAFO 1 (1),FAO,27.1,,,ok
7GK-C.,"VIIg),h),j),k) (1)",FAO,27.7.g,,,ok
7GK-C.,"VIIg),h),j),k) (1)",FAO,27.7.h,,,ok
7GK-C.,"VIIg),h),j),k) (1)",FAO,27.7.j,,,ok
7GK-C.,"VIIg),h),j),k) (1)",FAO,27.7.k,,,ok
7GK-C.,"VIIg),h),j),k) (1)",FAO,27.1,,,ok
04CBW.,IVc) Blackwater stock,FAO,27.4.c,,,ok
*3A4AB,"IIIa), IVa),b)(1)",FAO,27.4.a,,,ok
*3A4AB,"IIIa), IVa),b)(1)",FAO,27.4.b,,,ok
*3A4AB,"IIIa), IVa),b)(1)",FAO,27.3.a,,,ok
*3A4AB,"IIIa), IVa),b)(1)",FAO,27.1,,,ok
8ABDE.,"8a, 8b, 8d and 8e",FAO,27.8.a,,,ok
8ABDE.,"8a, 8b, 8d and 8e",FAO,27.8.b,,,ok
8ABDE.,"8a, 8b, 8d and 8e",FAO,27.8.d,,,ok
8ABDE.,"8a, 8b, 8d and 8e",FAO,27.8.e,,,ok
*3AX4-EU,Union waters of 4 and of the part of 3a not covered by the Skagerrak and the Kattegat,FAO,27.3.a,EU,,ok
*3AX4-EU,Union waters of 4 and of the part of 3a not covered by the Skagerrak and the Kattegat,FAO,27.4,EU,,ok
MED3_OTB_TR2,(no description - inferred from code),NONE,,,MED3_OTB_TR2,Mediterranean effort regime code - not an area
GNB_2019,Guinea-Bissau,EEZ,GNB,GNB,,ok
F34111,CECAF area 34.1.11,FAO,34.1.11,,,ok
03D-E.,Estonia zone: IIId),FAO,27.3.d,EST,,ok
SPR-A,SPRFMO Convention Area within the research block A (see coordinates in the regulation),RFMO,SPRFMO,,,ok
GNB_2014,Guinea-Bissau,EEZ,GNB,GNB,,ok
N23.,"NAFO 2,3.",FAO,21.2,NAFO,,ok
N23.,"NAFO 2,3.",FAO,21.3,NAFO,,ok
*N3M.,NAFO 3M (Vessels may also fish this stock in Division 3L in the box bounded by the following coordinates: 47°20'N 46°40'W; 47°20'N 46°30'W; 46°00'N 46°30'W; 46°00'N 46°40'W),FAO,21.3.M,NAFO,,ok
*N3M.,NAFO 3M (Vessels may also fish this stock in Division 3L in the box bounded by the following coordinates: 47°20'N 46°40'W; 47°20'N 46°30'W; 46°00'N 46°30'W; 46°00'N 46°40'W),FAO,27.3,,,ok
N1GRN.,Greenland waters of NAFO 1,FAO,21.1,GRL,,ok
N01GRN,"Greenland zone: NAFO 0,1",FAO,21.0,GRL,,ok
N01GRN,"Greenland zone: NAFO 0,1",FAO,21.1,GRL,,ok
12INT_AMS,International waters of 12 (shared quota),FAO,27.12,INT,,ok
N23,"NAFO 2, 3 = FAO 21.2 + 21.3",FAO,21.2,NAFO,,ok
N23,"NAFO 2, 3 = FAO 21.2 + 21.3",FAO,21.3,NAFO,,ok
MAR_2014,Morocco Agreement from 2014 to 2018,EEZ,MAR,MAR,,ok
934PRT,"IX,X;CECAF 3411(1): under sover./juris. of Portugal",FAO,27.9,,,ok
934PRT,"IX,X;CECAF 3411(1): under sover./juris. of Portugal",FAO,27.10,,,ok
934PRT,"IX,X;CECAF 3411(1): under sover./juris. of Portugal",FAO,34.1.1,,,ok
934PRT,"IX,X;CECAF 3411(1): under sover./juris. of Portugal",FAO,27.1,,,ok
F5841E,FAO 58.4.1 east of 115 E,FAO,58.4.1,,east of 115 E,ok
567EI.,6 and 7; United Kingdom and international waters of 5,FAO,27.6,,,ok
567EI.,6 and 7; United Kingdom and international waters of 5,FAO,27.7,,,ok
567EI.,6 and 7; United Kingdom and international waters of 5,FAO,27.5,GBR+INT,,ok
GF1718,Union and International waters of GFCM-GSAs 17 and 18,GSA,GSA17,EU+INT,,ok
GF1718,Union and International waters of GFCM-GSAs 17 and 18,GSA,GSA18,EU+INT,,ok
N4TVN.,"NAFO 4T,Vn",FAO,21.4.T,NAFO,,ok
*9U267,Functional Units 26 and 27 of ICES Division 9a,FU,FU26,,,ok
*9U267,Functional Units 26 and 27 of ICES Division 9a,FU,FU27,,,ok
*9U267,Functional Units 26 and 27 of ICES Division 9a,FAO,27.9.a,,Functional Units 26 and 27,ok
*C-USA,Chartering arrangement with USA,CHARTER,USA,,,charter
07-,Union and international waters of VII,FAO,27.7,EU+INT,,ok
N34_TOT,NAFO subareas 3 and 4 (EU incl shared quota),FAO,21.3,EU,,ok
N34_TOT,NAFO subareas 3 and 4 (EU incl shared quota),FAO,21.4,EU,,ok
*46AB7-EU,"Union waters of IV, VIa North of 56° 30 N, VIb and VII West of 12° W",FAO,27.6.a,EU,North of 56° 30 N | West of 12° W,ok
*46AB7-EU,"Union waters of IV, VIa North of 56° 30 N, VIb and VII West of 12° W",FAO,27.6.b,EU,North of 56° 30 N | West of 12° W,ok
*46AB7-EU,"Union waters of IV, VIa North of 56° 30 N, VIb and VII West of 12° W",FAO,27.4,EU,North of 56° 30 N | West of 12° W,ok
*46AB7-EU,"Union waters of IV, VIa North of 56° 30 N, VIb and VII West of 12° W",FAO,27.7,EU,North of 56° 30 N | West of 12° W,ok
567-,"Union and international waters of V, VI and VII",FAO,27.5,EU+INT,,ok
567-,"Union and international waters of V, VI and VII",FAO,27.6,EU+INT,,ok
567-,"Union and international waters of V, VI and VII",FAO,27.7,EU+INT,,ok
ICAW45W,"ICCAT Convention area, west of 45°W",RFMO,ICCAT,,west of 45°W,ok
*24N59,United Kingdom waters of  2a and 4a north of 59° N,FAO,27.2.a,GBR,north of 59° N,ok
*24N59,United Kingdom waters of  2a and 4a north of 59° N,FAO,27.4.a,GBR,north of 59° N,ok
8-C.,Union waters of 8,FAO,27.8,EU,,ok
F574WR,Williams Ridge (area bounded by the following coordinates: 52°50'S 80°00'E; 55°00'S 80°00'E; 55°00'S 85°00'E; 52°50'S 85°00'E),BOX,Williams Ridge,,coordinates in regulation,manual
34-C,Union waters of III and IV,FAO,27.3,EU,,ok
34-C,Union waters of III and IV,FAO,27.4,EU,,ok
